,codigo_refes,efector,anio,agrupacion,servicio,total,id_origen,nombre_establecimento,tipologia_sigla,tipologia_desc,categoria_desc,cuit_refes,origen_financimiento_desc,dependencia_desc,provincia_desc,departamento_desc,domicilio,codigo_postal,razon_social,especialidad,id_dependencia,id_provincia_indec,id_provincia_refes,id_localidad_bahra,id_tipologia,id_localidad_indec,id_departamento_indec,id_categoria_desc,id_barrio_indec,fecha_registro,estado_geo,latitud,longitud,pais,WKT
0,50020082218914,HOSPITAL CECILIA GRIERSON,2019,,alergia,48,134066,HOSPITAL CECILIA GRIERSON - CENTRO DE SALUD INTEGRAL,ESCIG,Establecimiento de salud con internación general,Alto riesgo con terapia intensiva,34999032089,Público,Municipal,CABA,COMUNA 8,Avenida General Fernández de la Cruz 4402,32,*sin dato*,*sin dato*,22,2,1,2008010003,10,9100000032,520,113,-1,2016-10-24,sin_confirmar,-34.67372,-58.45914,Argentina,POINT (-58.45914 -34.67372)
1,50020082218914,HOSPITAL CECILIA GRIERSON,2019,,cardiologia,4178,134066,HOSPITAL CECILIA GRIERSON - CENTRO DE SALUD INTEGRAL,ESCIG,Establecimiento de salud con internación general,Alto riesgo con terapia intensiva,34999032089,Público,Municipal,CABA,COMUNA 8,Avenida General Fernández de la Cruz 4402,32,*sin dato*,*sin dato*,22,2,1,2008010003,10,9100000032,520,113,-1,2016-10-24,sin_confirmar,-34.67372,-58.45914,Argentina,POINT (-58.45914 -34.67372)
2,50020082218914,HOSPITAL CECILIA GRIERSON,2019,,cirugia,22,134066,HOSPITAL CECILIA GRIERSON - CENTRO DE SALUD INTEGRAL,ESCIG,Establecimiento de salud con internación general,Alto riesgo con terapia intensiva,34999032089,Público,Municipal,CABA,COMUNA 8,Avenida General Fernández de la Cruz 4402,32,*sin dato*,*sin dato*,22,2,1,2008010003,10,9100000032,520,113,-1,2016-10-24,sin_confirmar,-34.67372,-58.45914,Argentina,POINT (-58.45914 -34.67372)
3,50020082218914,HOSPITAL CECILIA GRIERSON,2019,,clinica_medica,8227,134066,HOSPITAL CECILIA GRIERSON - CENTRO DE SALUD INTEGRAL,ESCIG,Establecimiento de salud con internación general,Alto riesgo con terapia intensiva,34999032089,Público,Municipal,CABA,COMUNA 8,Avenida General Fernández de la Cruz 4402,32,*sin dato*,*sin dato*,22,2,1,2008010003,10,9100000032,520,113,-1,2016-10-24,sin_confirmar,-34.67372,-58.45914,Argentina,POINT (-58.45914 -34.67372)
4,50020082218914,HOSPITAL CECILIA GRIERSON,2019,,dermatologia,1163,134066,HOSPITAL CECILIA GRIERSON - CENTRO DE SALUD INTEGRAL,ESCIG,Establecimiento de salud con internación general,Alto riesgo con terapia intensiva,34999032089,Público,Municipal,CABA,COMUNA 8,Avenida General Fernández de la Cruz 4402,32,*sin dato*,*sin dato*,22,2,1,2008010003,10,9100000032,520,113,-1,2016-10-24,sin_confirmar,-34.67372,-58.45914,Argentina,POINT (-58.45914 -34.67372)
5,50020082218914,HOSPITAL CECILIA GRIERSON,2019,,diabetologia,568,134066,HOSPITAL CECILIA GRIERSON - CENTRO DE SALUD INTEGRAL,ESCIG,Establecimiento de salud con internación general,Alto riesgo con terapia intensiva,34999032089,Público,Municipal,CABA,COMUNA 8,Avenida General Fernández de la Cruz 4402,32,*sin dato*,*sin dato*,22,2,1,2008010003,10,9100000032,520,113,-1,2016-10-24,sin_confirmar,-34.67372,-58.45914,Argentina,POINT (-58.45914 -34.67372)
6,50020082218914,HOSPITAL CECILIA GRIERSON,2019,,ecografia,1232,134066,HOSPITAL CECILIA GRIERSON - CENTRO DE SALUD INTEGRAL,ESCIG,Establecimiento de salud con internación general,Alto riesgo con terapia intensiva,34999032089,Público,Municipal,CABA,COMUNA 8,Avenida General Fernández de la Cruz 4402,32,*sin dato*,*sin dato*,22,2,1,2008010003,10,9100000032,520,113,-1,2016-10-24,sin_confirmar,-34.67372,-58.45914,Argentina,POINT (-58.45914 -34.67372)
7,50020082218914,HOSPITAL CECILIA GRIERSON,2019,,electrocardiografia,1703,134066,HOSPITAL CECILIA GRIERSON - CENTRO DE SALUD INTEGRAL,ESCIG,Establecimiento de salud con internación general,Alto riesgo con terapia intensiva,34999032089,Público,Municipal,CABA,COMUNA 8,Avenida General Fernández de la Cruz 4402,32,*sin dato*,*sin dato*,22,2,1,2008010003,10,9100000032,520,113,-1,2016-10-24,sin_confirmar,-34.67372,-58.45914,Argentina,POINT (-58.45914 -34.67372)
8,50020082218914,HOSPITAL CECILIA GRIERSON,2019,,enfermeria,32593,134066,HOSPITAL CECILIA GRIERSON - CENTRO DE SALUD INTEGRAL,ESCIG,Establecimiento de salud con internación general,Alto riesgo con terapia intensiva,34999032089,Público,Municipal,CABA,COMUNA 8,Avenida General Fernández de la Cruz 4402,32,*sin dato*,*sin dato*,22,2,1,2008010003,10,9100000032,520,113,-1,2016-10-24,sin_confirmar,-34.67372,-58.45914,Argentina,POINT (-58.45914 -34.67372)
9,50020082218914,HOSPITAL CECILIA GRIERSON,2019,,fonoaudiologia,870,134066,HOSPITAL CECILIA GRIERSON - CENTRO DE SALUD INTEGRAL,ESCIG,Establecimiento de salud con internación general,Alto riesgo con terapia intensiva,34999032089,Público,Municipal,CABA,COMUNA 8,Avenida General Fernández de la Cruz 4402,32,*sin dato*,*sin dato*,22,2,1,2008010003,10,9100000032,520,113,-1,2016-10-24,sin_confirmar,-34.67372,-58.45914,Argentina,POINT (-58.45914 -34.67372)
